0.04-0.23i,0.04-0.23i,0.04-0.23i,0.04-0.23i,0.04-0.23i,0.04-0.23i,0.04-0.23i
0.08-0.32i,0.08-0.32i,0.08-0.32i,0.08-0.32i,0.08-0.32i,0.08-0.31i,0.08-0.31i
0.15-0.43i,0.15-0.43i,0.15-0.43i,0.14-0.43i,0.14-0.42i,0.14-0.42i,0.14-0.42i
0.28-0.56i,0.28-0.56i,0.27-0.55i,0.26-0.54i,0.25-0.53i,0.25-0.53i,0.24-0.53i
0.51-0.66i,0.5-0.66i,0.48-0.65i,0.44-0.64i,0.41-0.63i,0.39-0.62i,0.38-0.62i
0.82-0.65i,0.8-0.65i,0.73-0.66i,0.65-0.68i,0.58-0.68i,0.53-0.69i,0.52-0.69i
1.07-0.41i,1.04-0.46i,0.96-0.57i,0.84-0.67i,0.74-0.75i,0.66-0.78i,0.64-0.79i
1.02-0.14i,1.06-0.22i,1.11-0.43i,1.06-0.66i,0.94-0.82i,0.84-0.9i,0.8-0.92i
0.94-0.19i,1.01-0.16i,1.19-0.25i,1.28-0.56i,1.18-0.87i,1.03-1.03i,0.97-1.08i
1.02-0.99i,1.03-0.14i,1.14-0.15i,1.43-0.38i,1.46-0.86i,1.27-0.18i,1.17-1.26i
1.01-0.09i,1.03-0.08i,1.14-0.14i,1.43-0.2i,1.75-0.77i,1.56-1.33i,1.41-1.48i
1.01-0.06i,1.04-0.06i,1.15-0.08i,1.38-0.15i,1.98-0.56i,1.92-1.47i,1.69-1.75i
0.99-0.04i,1.03-0.04i,1.16-0.06i,1.42-0.12i,2.04-0.3i,2.36-1.58i,2.02-2.07i
1-0.03i,1.04-0.03i,1.16-0.04i,1.41-0.08i,1.96-0.19i,2.88-1.58i,2.41-2.46i
1-0.02i,1.04-0.02i,1.15-0.03i,1.41-0.05i,2-0.18i,3.43-1.4i,2.87-2.92i
1-0.02i,1.04-0.02i,1.15-0.02i,1.41-0.04i,1.99-0.11i,3.84-1.01i,3.42-3.46i
1-0.01i,1.04-0.01i,1.15-0.01i,1.41-0.03i,2-0.07i,3.94-0.54i,4.08-4.12i
